X,Y
173.333,1.333
173.000,3.000
172.000,4.000
171.667,4.667
171.333,5.667
171.000,6.667
170.333,7.333
170.333,8.000
170.000,8.667
169.667,9.333
169.333,9.667
169.000,10.000
169.000,10.333
169.000,10.667
168.667,11.000
168.667,11.333
168.333,11.333
168.000,11.667
167.667,12.000
167.000,12.667
166.667,13.000
166.333,13.667
166.000,14.000
166.000,14.333
165.333,14.667
165.000,15.000
164.667,15.333
164.333,16.333
164.000,16.333
163.333,17.000
163.000,17.333
162.333,17.667
162.000,18.000
161.667,18.333
161.333,18.667
161.000,19.000
160.333,19.333
160.000,19.333
159.667,19.667
159.333,20.000
159.000,20.333
158.333,20.667
157.333,21.000
157.000,21.333
156.667,21.667
156.333,22.000
156.000,22.000
156.000,22.333
155.667,22.333
155.333,22.667
155.000,23.000
154.667,23.333
154.333,23.333
154.333,23.667
154.000,23.667
154.000,24.000
153.667,24.000
153.667,24.333
153.333,24.333
153.000,24.667
152.667,25.000
152.333,25.333
152.000,25.667
151.667,26.000
151.333,26.333
151.000,26.667
150.667,26.667
150.667,27.000
150.333,27.333
150.000,27.667
149.667,27.667
149.667,28.000
149.333,28.000
149.000,28.333
148.667,28.667
148.333,29.000
148.333,29.333
148.000,29.333
147.667,29.667
147.333,30.000
147.333,30.333
147.000,30.333
146.667,30.667
146.667,31.000
146.333,31.000
146.000,31.333
146.000,31.667
145.667,32.000
145.333,32.333
145.000,32.667
145.000,33.000
144.667,33.667
144.667,34.333
144.333,34.667
144.000,35.000
143.667,35.333
143.667,35.667
143.333,36.333
143.000,36.667
142.667,37.000
142.333,37.667
142.333,38.000
142.000,38.333
142.000,38.667
141.667,39.000
141.667,39.667
141.333,40.000
141.000,40.667
141.000,41.000
140.667,41.333
140.667,41.667
140.667,42.000
140.667,42.667
140.333,43.000
140.333,43.667
140.000,44.000
139.667,44.333
139.667,44.667
139.667,45.000
139.000,45.667
139.000,46.000
138.667,46.333
138.667,46.667
138.333,46.667
138.333,47.000
138.000,48.000
137.667,48.000
137.667,48.667
137.333,48.667
137.333,49.000
137.000,49.000
137.000,49.333
137.000,49.667
136.667,50.000
136.667,50.333
136.667,50.667
136.333,50.667
136.000,51.000
136.000,51.333
135.333,51.667
135.000,52.667
135.000,53.000
134.667,53.333
134.667,53.667
134.667,54.000
134.333,54.000
134.333,54.333
134.000,54.667
133.667,55.333
133.667,55.667
133.333,56.000
133.333,56.667
133.333,57.000
133.000,57.667
133.000,58.333
133.000,59.000
133.000,59.333
132.667,60.333
132.667,61.000
132.333,61.333
132.333,62.333
132.333,63.000
132.333,63.667
132.333,64.667
132.333,65.000
132.333,65.667
132.333,66.000
132.333,66.333
132.333,67.000
132.333,67.333
132.333,68.333
132.333,69.333
132.667,70.000
132.667,70.333
132.667,70.667
133.000,71.333
133.000,72.000
133.000,72.333
133.333,72.667
133.333,73.333
133.333,73.667
133.333,74.000
133.333,74.667
133.333,75.333
133.333,75.667
133.667,76.333
133.667,77.000
133.667,77.333
134.333,78.333
134.333,79.333
134.333,79.667
134.333,80.333
134.333,81.000
134.667,82.000
134.667,83.000
134.667,83.667
134.667,84.333
135.000,85.333
135.000,86.667
135.000,87.333
135.000,88.000
135.000,89.000
135.000,89.667
135.333,91.000
135.333,91.667
135.333,92.333
135.667,93.667
135.667,94.000
135.667,94.667
135.667,95.000
136.000,95.667
136.000,96.000
136.000,96.333
136.000,97.000
136.000,97.333
136.333,98.000
136.333,98.667
136.333,99.000
136.333,99.667
136.333,100.333
136.667,100.667
136.667,101.333
136.667,101.667
136.667,102.000
137.000,102.667
137.000,103.000
137.000,103.667
137.000,104.000
137.000,104.333
137.333,104.333
137.333,105.000
137.333,105.333
137.333,105.667
137.667,106.000
137.667,106.333
138.000,106.667
138.000,107.000
138.000,107.667
138.000,108.000
138.000,108.333
138.333,109.000
138.333,109.333
138.333,109.667
138.333,110.000
138.667,110.333
138.667,110.667
