X,Y
621.750,761.250
620.750,761.250
620.250,761.250
619.750,761.250
619.500,761.250
619.250,761.250
618.500,761.250
618.250,761.250
618.000,761.250
617.000,761.250
616.750,761.250
616.000,761.250
615.500,761.250
615.250,761.250
614.750,761.250
614.500,761.250
614.250,761.250
613.750,761.250
613.000,761.000
612.250,761.000
611.250,760.500
611.000,760.500
610.750,760.500
610.250,760.500
609.750,760.500
609.250,760.500
608.500,760.500
608.000,760.250
607.500,760.250
606.750,760.250
606.000,760.250
605.250,760.250
604.750,760.250
603.750,760.250
602.750,760.500
600.750,760.500
599.500,760.750
597.750,761.500
595.750,761.750
594.750,762.000
594.000,762.250
593.250,762.250
592.750,762.500
592.000,762.500
591.500,762.750
590.750,762.750
590.250,762.750
589.500,763.000
588.750,763.250
588.500,763.250
588.000,763.500
587.500,763.500
586.750,764.000
586.500,764.000
586.250,764.000
585.750,764.250
585.250,764.500
584.500,764.750
584.000,765.000
583.250,765.250
582.750,765.500
582.000,765.750
581.500,766.250
581.000,766.750
580.250,767.000
579.750,767.250
579.000,767.500
578.250,768.000
577.750,768.250
576.500,768.500
576.000,768.750
575.500,769.000
574.750,769.500
574.500,769.750
574.000,769.750
573.500,769.750
573.250,769.750
572.750,770.000
572.250,770.250
571.750,770.500
571.500,770.750
571.250,770.750
571.000,770.750
570.500,771.000
570.250,771.000
570.000,771.000
569.250,771.250
568.500,771.750
567.750,772.000
567.500,772.250
566.750,772.500
566.000,773.000
564.500,773.750
563.500,774.000
562.500,774.250
561.250,774.750
560.500,775.250
560.000,775.500
559.250,775.750
558.750,776.250
558.250,776.500
557.750,776.750
557.000,777.000
556.500,777.500
556.250,777.500
556.000,777.750
555.500,778.250
555.250,778.500
554.750,778.750
554.250,779.250
554.000,779.500
553.500,780.000
553.250,780.250
553.000,780.250
552.250,781.250
552.000,781.500
551.250,782.250
551.000,782.750
550.250,783.250
550.000,783.750
549.750,784.250
549.500,784.250
549.000,785.000
548.750,785.500
548.500,785.750
548.250,786.000
547.750,786.250
547.500,786.750
547.250,787.000
546.500,787.750
546.000,788.000
545.750,788.750
545.250,789.250
544.750,790.000
544.500,790.750
544.000,791.250
543.750,791.750
543.250,792.250
543.000,793.250
542.750,794.000
542.250,794.750
541.750,795.500
541.500,795.500
541.250,796.000
541.000,796.000
540.750,796.500
540.250,797.250
539.750,798.250
539.500,798.500
539.500,799.000
539.000,799.750
538.500,800.500
538.000,801.250
537.500,802.250
537.250,803.250
537.000,803.750
536.750,804.250
536.250,805.000
536.000,806.000
535.750,807.000
535.500,807.750
535.000,808.500
534.750,809.000
534.750,809.500
534.500,810.000
534.250,811.000
534.000,811.750
533.750,813.000
533.250,814.000
533.000,815.250
533.000,816.250
533.000,816.750
533.000,817.500
532.500,818.750
532.000,819.750
532.000,820.750
532.000,821.250
531.750,822.500
531.500,823.750
531.500,824.250
531.250,824.750
531.250,825.750
531.000,826.500
531.000,827.250
530.750,827.750
530.750,828.250
530.750,828.500
530.750,829.000
530.750,829.250
530.500,829.500
530.500,829.750
530.500,830.000
530.500,830.500
530.250,831.250
530.250,831.750
530.250,832.000
530.000,832.250
530.000,833.000
529.750,833.500
529.500,834.000
529.250,834.750
529.250,835.750
529.000,836.750
529.000,838.000
529.000,839.500
529.000,840.250
528.500,841.500
528.250,842.500
528.250,843.750
528.000,844.750
528.000,845.500
528.000,846.000
528.000,847.000
527.750,848.250
527.500,849.500
527.500,850.000
527.500,850.750
527.250,852.250
527.250,852.750
527.000,853.500
527.000,854.250
526.750,855.000
526.750,855.750
526.500,856.500
526.500,857.250
526.500,858.500
526.250,859.250
526.250,860.500
526.000,861.250
526.000,862.250
525.750,863.000
525.750,863.750
525.500,864.000
525.500,864.500
525.250,865.250
525.250,866.000
525.250,866.250
525.250,866.750
525.000,867.250
525.000,867.500
525.000,868.000
525.000,868.500
524.750,868.750
524.750,869.250
524.750,869.500
524.500,870.500
524.000,871.500
524.000,872.250
523.750,873.250
523.500,874.250
523.500,875.250
523.500,876.000
523.250,877.000
523.250,877.500
523.250,878.000
523.250,878.250
523.000,878.750
523.000,879.750
523.000,880.250
523.000,880.750
522.500,881.750
522.500,882.250
522.500,883.000
522.250,884.000
522.250,884.500
522.000,885.000
521.750,885.500
521.750,886.250
521.750,887.000
521.750,887.500
521.500,888.000
521.500,888.750
521.500,889.000
521.250,889.250
521.250,890.000
521.250,890.500
521.000,891.750
521.000,892.500
521.000,893.250
521.000,894.000
520.750,894.750
520.750,895.000
520.750,895.500
520.750,896.250
520.750,896.500
520.750,897.500
520.750,898.000
520.750,898.250
520.750,898.750
520.750,899.250
520.500,899.750
520.500,900.250
520.500,901.000
520.250,901.500
520.250,902.000
520.250,902.500
520.250,903.000
520.250,903.500
520.000,904.000
520.000,904.500
520.000,904.750
520.000,905.000
519.750,905.500
519.750,906.000
519.500,907.250
519.250,908.000
519.000,908.750
518.750,909.250
518.500,910.250
518.500,911.750
518.250,912.750
518.000,913.500
518.000,914.250
518.000,915.000
518.000,915.750
517.750,916.250
517.500,916.750
517.500,917.000
517.500,917.500
517.250,918.250
517.250,918.500
517.000,919.250
517.000,919.750
516.750,920.500
516.500,921.250
516.000,922.500
516.000,923.000
515.500,923.750
515.250,925.000
515.000,926.000
514.750,926.750
514.500,927.500
514.500,928.250
514.250,929.000
514.250,929.250
514.250,929.500
514.000,930.250
514.000,931.000
514.000,931.250
513.750,931.500
513.750,931.750
513.750,932.000
513.500,932.250
513.500,932.500
513.250,933.000
513.250,933.250
512.750,934.250
512.500,934.750
512.250,935.000
512.000,935.750
511.500,936.250
511.000,936.750
510.750,937.500
