X,Y
1019.500,340.250
1019.250,341.250
1018.750,342.250
1018.500,343.000
1018.000,343.250
1017.500,343.750
1017.250,344.500
1016.750,345.500
1016.000,347.000
1015.750,347.500
1015.750,348.000
1015.500,348.000
1015.500,348.250
1015.500,348.750
1015.500,350.250
1015.000,351.000
1015.000,352.000
1014.500,353.000
1014.250,353.250
1014.000,353.750
1014.000,354.250
1013.750,354.500
1013.500,354.750
1013.500,355.250
1013.250,355.750
1013.250,356.250
1013.000,356.750
1012.750,357.250
1012.500,357.750
1012.250,358.000
1011.750,358.500
1011.250,359.250
1010.500,360.000
1010.000,360.750
1008.750,361.250
1008.250,362.000
1007.750,362.750
1007.500,363.000
1007.000,363.250
1006.750,363.500
1006.500,363.500
1005.500,364.250
1004.750,364.750
1004.500,365.000
1004.000,365.500
1003.500,365.750
1003.000,366.250
1002.750,366.750
1002.000,367.750
1001.500,368.500
1001.250,368.750
1001.000,369.000
1000.750,369.500
1000.500,370.500
1000.500,371.000
1000.250,371.250
1000.250,371.750
999.750,372.750
999.500,373.250
999.250,374.000
999.250,374.500
999.000,375.250
998.750,376.000
998.750,376.750
998.500,377.500
998.500,378.000
998.500,378.250
998.250,378.500
998.250,379.000
998.000,379.250
998.000,379.750
997.750,380.250
997.500,380.500
997.250,381.000
997.000,381.500
996.750,381.750
996.250,382.500
995.750,383.000
995.500,383.250
995.250,383.750
995.000,384.250
994.750,384.750
994.000,385.500
993.750,386.000
993.500,386.500
993.250,387.000
992.750,387.500
992.500,388.500
992.250,389.250
991.750,390.000
991.750,390.750
991.250,391.500
991.000,392.000
990.500,392.750
990.250,393.250
990.250,393.500
990.000,394.000
989.750,395.000
989.000,395.750
988.500,396.750
987.750,397.500
987.250,398.750
987.000,399.500
986.500,400.250
986.000,401.000
985.500,401.500
985.000,402.750
984.500,403.000
984.250,403.500
984.250,404.000
983.250,405.250
983.250,405.500
982.500,407.000
982.250,407.500
982.000,408.000
982.000,408.500
981.750,408.750
981.750,409.000
981.500,409.250
981.250,409.500
981.250,409.750
