X,Y
0.667,592.333
0.667,591.000
0.667,590.000
0.667,589.333
0.333,588.667
0.333,588.000
0.333,587.000
0.333,586.667
0.333,586.000
0.333,585.000
0.333,584.333
0.333,584.000
0.333,583.000
0.333,582.333
0.333,582.000
0.333,581.333
0.333,580.667
0.333,580.333
0.333,580.000
0.667,579.333
0.667,578.667
0.667,578.000
1.000,577.667
1.000,577.333
1.000,576.667
1.333,576.333
1.333,575.667
1.333,575.000
1.667,574.667
2.000,574.333
2.000,574.000
2.333,573.667
2.667,573.667
3.000,573.000
3.333,572.667
3.667,572.000
4.000,571.333
4.333,570.667
4.667,570.333
5.000,569.667
5.000,569.333
5.333,569.000
5.667,569.000
5.667,568.667
6.000,568.667
6.000,568.333
6.333,567.667
6.667,567.333
6.667,567.000
7.333,566.667
7.667,566.333
8.000,566.000
8.000,565.667
8.333,565.333
8.667,564.667
9.000,564.000
9.333,563.667
9.667,563.333
10.000,563.000
10.000,562.667
10.333,562.000
11.000,561.667
11.333,561.333
11.333,560.667
11.667,560.333
12.667,559.667
13.333,558.667
13.667,558.000
14.000,557.667
14.000,557.333
14.667,556.667
15.000,555.667
15.333,555.000
15.667,554.667
16.000,554.333
16.000,553.667
16.333,553.333
16.667,552.667
17.000,552.333
17.333,551.667
17.667,551.000
18.000,550.333
18.333,550.000
18.333,549.667
18.667,549.333
19.000,549.000
19.000,548.667
19.333,548.333
19.333,548.000
19.667,547.667
19.667,547.333
20.000,547.000
20.000,546.667
20.333,546.333
20.667,545.667
21.333,545.333
21.667,544.333
22.000,544.000
22.000,543.667
22.333,543.333
23.000,543.000
23.000,542.667
23.333,542.667
23.667,542.333
24.000,542.000
24.333,542.000
25.000,542.000
25.333,542.000
25.667,542.000
26.000,541.667
26.333,541.667
26.667,541.667
27.000,541.667
27.333,541.667
27.667,541.667
28.000,541.667
28.333,541.667
28.667,542.000
29.000,542.333
29.333,542.333
29.667,542.333
29.667,542.667
30.000,542.667
30.333,542.667
30.667,543.000
31.000,543.000
31.667,543.000
32.000,543.333
32.667,543.333
33.333,543.667
33.667,543.667
34.333,544.000
34.667,544.000
35.000,544.000
35.333,544.000
35.667,544.333
36.333,544.333
36.667,544.333
37.333,544.333
