X,Y
1023.000,985.750
1022.000,986.000
1021.500,986.250
1020.500,986.750
1019.750,986.750
1018.750,987.000
1017.250,987.000
1015.750,987.250
1014.250,987.250
1012.000,987.250
1010.250,987.500
1007.750,987.500
1005.500,988.000
1003.750,988.000
1002.500,988.000
1001.750,988.000
1000.000,988.000
997.000,988.000
995.250,988.000
994.500,988.000
993.500,988.000
992.000,988.000
991.500,988.000
990.000,988.000
988.750,988.250
986.500,988.500
985.500,988.750
984.000,988.750
983.250,988.750
981.750,989.000
979.500,989.250
978.250,989.250
977.250,989.500
976.500,989.500
975.250,989.750
973.250,989.750
971.500,990.000
970.000,990.500
968.500,990.750
967.250,991.250
965.500,991.250
963.750,991.500
962.500,991.500
961.250,991.750
960.000,992.000
958.500,992.500
957.000,992.750
955.750,993.000
954.500,993.250
953.750,993.500
953.000,993.750
952.250,994.000
951.250,994.500
950.250,995.000
950.000,995.250
948.750,995.750
947.750,996.250
947.000,996.500
946.000,997.000
945.250,997.500
944.500,998.250
943.750,998.500
942.750,999.250
942.000,1000.000
941.000,1001.250
940.000,1002.000
939.250,1002.500
938.750,1003.250
938.000,1003.750
937.250,1004.750
936.250,1006.000
935.750,1006.500
935.500,1007.250
935.250,1008.250
935.000,1009.000
934.250,1010.250
934.000,1011.250
933.750,1012.250
933.500,1013.250
933.000,1014.750
932.750,1016.000
932.500,1017.500
932.250,1018.500
932.000,1019.500
931.250,1020.000
931.000,1020.750
930.750,1021.250
930.250,1022.000
930.000,1022.500
929.500,1023.250
929.250,1023.750
928.750,1024.250
928.500,1024.250
928.000,1024.750
927.250,1025.500
926.750,1026.000
926.250,1026.750
925.750,1027.250
925.250,1028.000
924.500,1029.000
923.250,1030.250
922.750,1031.000
921.750,1032.750
921.000,1033.750
920.500,1034.500
920.250,1035.250
919.750,1036.000
919.000,1037.250
918.500,1038.500
918.000,1039.250
917.750,1040.250
917.250,1041.000
916.750,1042.000
916.250,1043.000
916.000,1043.750
915.750,1044.750
915.000,1046.250
914.500,1047.250
914.250,1048.250
914.000,1049.750
913.250,1051.750
913.000,1053.250
912.250,1054.250
912.000,1055.500
911.750,1057.000
911.250,1058.000
911.000,1058.500
910.750,1059.000
910.250,1060.500
909.500,1062.000
909.250,1062.500
909.000,1062.750
908.750,1063.500
908.500,1064.500
908.000,1065.750
907.750,1066.250
907.500,1066.750
907.500,1067.250
907.250,1067.750
907.250,1068.750
906.500,1069.750
906.500,1070.250
906.250,1071.000
906.000,1071.500
906.000,1072.000
905.750,1072.750
905.500,1073.500
905.500,1074.750
905.000,1076.000
904.750,1076.500
904.750,1076.750
904.750,1078.000
904.500,1078.250
904.500,1078.750
904.500,1079.500
904.500,1080.250
904.500,1080.750
904.500,1081.500
904.500,1082.500
904.500,1083.000
904.500,1083.750
904.750,1084.500
905.000,1085.500
905.250,1086.750
905.250,1087.750
905.500,1088.750
905.750,1090.000
906.000,1091.000
906.250,1091.750
906.750,1092.500
906.750,1093.250
906.750,1094.000
907.000,1095.000
907.500,1096.250
907.750,1097.250
908.000,1098.250
908.250,1099.500
908.250,1100.500
908.500,1101.500
908.500,1102.250
908.500,1102.750
908.500,1103.500
908.500,1104.000
908.500,1104.250
908.750,1104.750
909.000,1105.250
909.250,1106.000
909.250,1106.750
909.500,1107.500
909.500,1108.000
909.750,1108.250
910.250,1109.000
910.750,1110.750
911.000,1111.500
911.250,1112.250
911.250,1112.750
911.500,1113.500
911.750,1114.000
912.000,1114.500
912.500,1115.250
912.500,1115.750
913.250,1116.750
914.500,1117.750
915.500,1119.000
916.500,1119.500
917.250,1120.250
918.000,1121.000
919.000,1122.000
919.750,1123.000
921.000,1124.250
923.500,1125.750
924.500,1126.250
925.750,1127.000
927.250,1128.000
928.000,1128.750
928.250,1129.250
928.500,1129.750
929.500,1130.750
930.500,1131.750
931.250,1132.500
932.500,1133.500
933.250,1134.000
934.000,1135.250
935.250,1136.250
936.000,1137.000
937.250,1138.500
937.750,1139.000
938.500,1139.750
939.250,1140.500
939.750,1141.000
941.250,1142.500
942.000,1143.750
943.750,1145.500
945.000,1146.250
945.500,1146.750
946.500,1147.750
947.250,1149.000
948.250,1149.750
949.250,1150.750
